iso_code,Country,Continent,Specific Sub-Region,Date Range,total_cases,Cases per Pop,total_deaths,Deaths per Pop,Fatality,stringency_index,population,gdp_per_capita,human_development_index,Social support_2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019,happiness score 2019,Happiness Score 2020,Social support_2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020
AFG,Afghanistan,Asia,Southern Asia,2019-12-31 - 2020-10-19,40200,0.001032667,1492,3.83E-05,0.037114428,49.14003571,38928341,1803.987,0.498,0.517,0.361,0,0.158,0.025,3.203,2.5669,0.356434,0.266052,0,0.135235,0.001226
ALB,Albania,Europe,Southern Europe,2020-03-09 - 2020-10-19,17055,0.005926402,451,0.000156717,0.026443858,67.75345972,2877800,11803.431,0.785,0.848,0.874,0.383,0.178,0.027,4.719,4.8827,0.830484,0.84633,0.461946,0.171028,0.025361
DZA,Algeria,Africa,Northern Africa,2020-12-31 - 2020-10-19,54402,0.001240609,1856,4.23E-05,0.034116393,56.59318182,43851043,13913.839,0.754,1.16,0.785,0.086,0.073,0.114,5.211,5.0051,1.143004,0.745419,0.083944,0.118915,0.129191
ARG,Argentina,South America,Latin America and the Caribbean,2020-02-11 - 2020-10-19,989667,0.021897333,26267,0.000581183,0.026541251,79.51768595,45195777,18933.907,0.825,1.432,0.881,0.471,0.066,0.05,6.086,5.9747,1.372544,0.849774,0.52084,0.0701,0.060415
ARM,Armenia,Asia,Western Asia,2019-12-31 - 2020-10-19,64694,0.021832228,1081,0.000364804,0.016709432,0,2963234,8787.58,0.755,1.055,0.815,0.283,0.095,0.064,4.559,4.6768,1.034577,0.775857,0.378076,0.107226,0.104618
AUS,Australia,Oceania,Australia and New Zealand,2019-12-31 - 2020-10-19,27390,0.001074123,904,3.55E-05,0.033004746,65.28,25499881,44648.71,0.939,1.548,1.036,0.557,0.332,0.29,7.228,7.2228,1.477146,1.022608,0.621877,0.324974,0.335996
AUT,Austria,Europe,Western Europe,2019-12-31 - 2020-10-19,65557,0.007278935,910,0.000101039,0.01388105,38.61851211,9006400,45436.686,0.908,1.475,1.016,0.532,0.244,0.226,7.246,7.2942,1.437445,1.000934,0.603369,0.25551,0.281256
AZE,Azerbaijan,Asia,Western Asia,2019-12-31 - 2020-10-19,44964,0.00443468,626,6.17E-05,0.013922249,64.08695205,10139175,15847.419,0.757,1.147,0.769,0.351,0.035,0.182,5.208,5.1648,1.180613,0.731134,0.467735,0.040113,0.247307
BHR,Bahrain,Asia,Western Asia,2019-12-31 - 2020-10-19,77902,0.045782075,300,0.000176306,0.003850992,63.89,1701583,43290.705,0.846,1.368,0.871,0.536,0.255,0.11,6.199,6.2273,1.315324,0.838836,0.6104,0.287454,0.126697
BGD,Bangladesh,Asia,Southern Asia,2020-03-03 - 2020-10-19,388569,0.002359405,5660,3.44E-05,0.014566268,73.09108696,164689383,3523.984,0.608,0.928,0.723,0.527,0.166,0.143,4.456,4.8328,0.868801,0.694941,0.604131,0.176745,0.176736
BLR,Belarus,Europe,Eastern Europe,2019-12-31 - 2020-10-19,87698,0.009280878,929,9.83E-05,0.010593172,9.229113068,9449321,17167.967,0.808,1.465,0.789,0.235,0.094,0.142,5.323,5.5399,1.387139,0.752589,0.290756,0.089933,0.193607
BEL,Belgium,Europe,Western Europe,2019-12-31 - 2020-10-17,222126,0.01916595,10409,0.000898132,0.046860791,43.52,11589616,42658.576,0.916,1.504,0.986,0.473,0.16,0.21,6.923,6.8635,1.398678,0.964901,0.499805,0.146966,0.208724
BEN,Benin,Africa,Sub-Saharan Africa,2020-03-17 - 2020-10-19,2496,0.000205886,41,3.38E-06,0.016426282,49.08415459,12123198,2064.236,0.515,0.437,0.397,0.349,0.175,0.082,4.883,5.216,0.352428,0.328063,0.40584,0.19667,0.125932
BOL,Bolivia,South America,Latin America and the Caribbean,2020-03-12 - 2020-10-19,139771,0.011973842,8481,0.000726547,0.060677823,88.67620603,11673029,6885.829,0.693,1.209,0.706,0.511,0.137,0.064,5.779,5.7475,1.142351,0.662446,0.574465,0.138375,0.072943
BIH,Bosnia and Herzegovina,Europe,Southern Europe,2020-03-06 - 2020-10-19,33561,0.01022947,980,0.000298706,0.02920056,62.66041282,3280815,11713.895,0.768,1.212,0.845,0.212,0.263,0.006,5.386,5.6741,1.203987,0.813928,0.305366,0.264005,0.001172
BWA,Botswana,Africa,Sub-Saharan Africa,2020-04-01 - 2020-10-19,5242,0.002229097,20,8.50E-06,0.003815338,64.12158426,2351625,15807.374,0.717,1.145,0.538,0.455,0.025,0.1,3.488,3.4789,1.085695,0.494102,0.509089,0.033407,0.101786
BRA,Brazil,South America,Latin America and the Caribbean,2019-12-31 - 2020-10-19,5235344,0.024630027,153905,0.000724056,0.029397304,56.26172637,212559409,14103.452,0.759,1.439,0.802,0.39,0.099,0.086,6.3,6.3756,1.363464,0.766119,0.483293,0.131675,0.106519
BGR,Bulgaria,Europe,Eastern Europe,2020-03-08 - 2020-10-19,29503,0.004245986,986,0.000141902,0.03342033,46.43986485,6948445,18563.307,0.813,1.513,0.815,0.311,0.081,0.004,5.011,5.1015,1.460579,0.777777,0.41782,0.103834,0
BFA,Burkina Faso,Africa,Sub-Saharan Africa,2020-03-11 - 2020-10-19,2381,0.000113906,65,3.11E-06,0.027299454,54.12406878,20903278,1703.102,0.423,1.056,0.38,0.255,0.177,0.113,4.587,4.7687,0.929386,0.312834,0.322398,0.186391,0.126408
